set apps := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 ;
set drives := 1 2 3 4 5 6 7 8 9 10 ;
set users := 1 2 3 4 5 6 7 8 9 10 ;
set app_params := user gen read time prior;
set user_params := profile read write security access priority;
set drive_params := read_s write_s size;
param applications :
	user gen read time prior :=
1 5 430 60 11 2
2 10 180 460 21 2
3 1 110 310 21 1
4 8 130 160 16 2
5 3 110 260 28 2
6 7 380 330 8 3
7 10 480 400 22 3
8 9 390 420 18 1
9 6 330 220 24 2
10 3 60 90 10 1
11 10 270 200 18 1
12 1 80 240 16 2
13 4 420 450 26 2
14 5 450 370 28 2
15 2 210 310 5 1
16 3 240 320 29 1
17 1 370 280 12 3
18 4 350 220 23 3
19 2 370 400 3 3
20 1 310 110 30 1
21 6 120 320 10 2
22 7 320 340 3 2
23 1 390 320 6 2
24 10 270 430 9 1
25 1 280 380 7 1
26 6 270 250 19 2
27 10 250 340 4 2
28 2 430 340 10 2
29 8 200 200 11 2
30 1 260 150 13 1
31 4 410 430 13 2
32 3 100 330 28 1
33 2 430 300 22 1
34 9 320 230 21 1
35 7 150 120 24 2
36 3 130 260 10 3
37 7 460 100 23 2
38 9 210 290 24 1
39 9 300 190 27 3
40 7 480 370 24 1
;
param phys_drives :
	read_s write_s size :=
1 470 430 50000 
2 270 270 50000 
3 470 80 40000 
4 420 540 40000 
5 190 160 50000 
6 400 470 50000 
7 220 400 65000 
8 330 240 45000 
9 510 190 50000 
10 420 270 40000 
;
param sys_users :
	profile read write security access priority :=
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 0 0 0 0 0
5 0 0 0 0 0 0
6 0 0 0 0 0 0
7 0 0 0 0 0 0
8 0 0 0 0 0 0
9 0 0 0 0 0 0
10 0 0 0 0 0 0
